V,143,250.0,50
C,143,249.0,49
V,142,248.0,49
C,142,246.0,47
V,141,245.0,47
C,141,242.0,44
V,140,241.0,44
C,140,238.0,41
V,139,237.0,41
C,139,232.0,36
V,138,231.0,36
C,138,227.0,32
V,137,226.0,32
C,137,224.0,30
V,136,223.0,30
C,136,219.0,26
V,135,218.0,26
C,135,214.0,22
V,134,213.0,22
C,134,208.0,17
V,118,207.0,17
C,118,204.0,14
V,102,203.0,14
C,102,202.0,13
V,86,201.0,13
C,86,200.0,12
V,87,199.0,12
C,87,198.0,11
V,88,197.0,11
C,88,192.0,6
V,89,191.0,6
C,89,187.0,2
V,105,186.0,2
C,105,184.0,0
V,121,183.0,0
P,105,183.0,0
P,89,182.0,0
P,88,181.0,0
P,87,180.0,0
P,86,179.0,0
P,87,250.0,50
P,88,249.0,50
P,89,248.0,50
P,105,247.0,50
P,121,246.0,50
V,121,245.0,50
C,121,241.0,46
V,120,239.5,46
C,120,237.5,45
V,119,235.5,45
C,119,229.5,42
V,103,227.5,42
C,103,221.5,39
V,104,219.5,39
C,104,211.5,35
P,88,211.5,35
P,89,210.0,35
V,73,207.5,35
C,73,204.5,32
V,57,203.5,32
C,57,202.5,31
V,41,201.5,31
C,41,197.5,27
V,25,196.5,27
C,25,191.5,22
V,9,190.5,22
C,9,188.5,20
V,10,187.5,20
C,10,182.5,15
V,11,181.5,15
C,11,177.5,11
V,12,176.5,11
C,12,173.5,8
V,13,172.5,8
C,13,168.5,4
V,14,167.5,4
P,13,163.5,0
P,12,162.5,0
P,11,161.5,0
P,10,160.5,0
P,9,159.5,0
P,25,158.5,0
P,41,157.5,0
P,57,156.5,0
P,73,155.5,0
P,89,154.5,0
P,88,153.5,0
P,87,152.5,0
P,86,151.5,0
P,87,250.0,50
P,88,249.0,50
P,89,248.0,50
P,73,247.0,50
P,57,246.0,50
P,41,245.0,50
P,25,244.0,50
P,9,243.0,50
P,10,242.0,50
P,11,241.0,50
P,12,240.0,50
P,13,239.0,50
P,14,238.0,50
V,14,237.0,50
C,14,236.0,49
V,15,235.0,49
C,15,233.0,47
V,31,232.0,47
C,31,231.0,46
V,47,230.0,46
C,47,225.0,41
V,63,224.0,41
C,63,221.0,38
V,79,220.0,38
C,79,216.0,34
V,78,215.0,34
C,78,211.0,30
V,77,210.0,30
C,77,209.0,29
V,76,208.0,29
C,76,204.0,25
V,75,203.0,25
C,75,200.0,22
V,74,199.0,22
C,74,197.0,20
V,58,196.0,20
C,58,191.0,15
V,42,189.5,15
C,42,187.5,14
V,26,185.5,14
C,26,179.5,11
V,27,177.5,11
C,27,171.5,8
V,28,169.5,8
C,28,165.5,6
V,29,163.5,6
C,29,153.5,1
V,30,151.5,1
P,29,149.5,0
P,28,147.5,0
P,27,145.5,0
P,26,143.5,0
P,42,141.5,0
P,58,139.5,0
P,57,138.0,0
P,73,136.5,0
P,89,135.0,0
P,88,133.5,0
P,87,132.0,0
P,86,130.5,0
P,87,250.0,50
P,88,249.0,50
P,89,248.0,50
P,73,247.0,50
P,57,246.0,50
P,58,245.0,50
P,42,244.0,50
P,26,242.5,50
P,27,241.0,50
P,28,239.5,50
P,29,238.0,50
P,30,236.5,50
V,30,235.0,50
C,30,233.0,49
V,46,231.0,49
C,46,223.0,45
V,62,221.5,45
C,62,220.5,44
V,61,219.5,44
C,61,215.5,40
V,60,214.5,40
C,60,209.5,35
V,59,208.5,35
C,59,203.5,30
V,43,202.0,30
C,43,198.0,28
V,44,196.0,28
C,44,188.0,24
V,45,186.0,24
C,45,180.0,21
P,61,180.0,21
P,77,178.5,21
V,93,176.0,21
C,93,175.0,20
V,109,174.0,20
C,109,173.0,19
V,125,172.0,19
C,125,170.0,17
V,124,169.0,17
C,124,165.0,13
V,123,164.0,13
C,123,160.0,9
V,122,159.0,9
C,122,157.0,7
V,106,156.0,7
C,106,154.0,5
V,90,153.0,5
C,90,149.0,1
V,91,148.0,1
P,90,147.0,0
P,106,146.0,0
P,122,145.0,0
P,138,144.0,0
P,137,143.0,0
P,121,142.0,0
P,105,141.0,0
P,104,140.0,0
P,88,138.5,0
P,87,137.5,0
P,86,136.5,0
P,87,250.0,50
P,88,249.0,50
P,89,248.0,50
P,73,247.0,50
P,74,246.0,50
P,75,245.0,50
P,76,244.0,50
P,77,243.0,50
P,93,242.0,50
P,109,241.0,50
P,125,240.0,50
P,124,239.0,50
P,123,238.0,50
P,122,237.0,50
P,106,236.0,50
P,90,235.0,50
P,91,234.0,50
V,91,233.0,50
C,91,231.0,48
V,92,230.0,48
C,92,228.0,46
V,108,227.0,46
C,108,223.0,42
V,107,222.0,42
C,107,218.0,38
P,108,218.0,38
P,109,217.0,38
P,125,216.0,38
V,126,214.0,38
C,126,211.0,35
V,127,210.0,35
C,127,205.0,30
V,111,204.0,30
C,111,203.0,29
V,95,202.0,29
C,95,201.0,28
V,94,200.0,28
C,94,198.0,26
V,110,197.0,26
C,110,192.0,21
P,94,192.0,21
P,93,191.0,21
P,77,190.0,21
P,61,189.0,21
P,60,188.0,21
P,44,187.0,21
P,28,185.5,21
P,12,184.0,21
P,11,183.0,21
P,10,182.0,21
P,9,181.0,21
V,8,179.0,21
C,8,178.0,20
V,7,177.0,20
C,7,176.0,19
V,6,175.0,19
